variable,description
solid volume fraction, the element-averaged solid volume fraction in a biphasic-FSI material
solute relative Peclet number, Element relative Peclet number
solute volumetric flux, Volumetric flux of solute in triphasic/multiphasic materials
stress error, the effective stress
surface reaction force, Total reaction force on a surface
surface reaction moment, Total reaction moment on a surface
truss stretch, Current stretch of the truss element (i.e. $\lambda = L_t / L_0$)
total angular momentum, Total angular momentum of a rigid body domain
total linear momentum, Total linear momentum of a rigid body domain
total energy, total energy (= strain energy + kinetic energy) of a solid domain.
plasticity heat supply density, Reactive plasticity heat supply
fluid volume ratio gradient, Gradient of porosity in a biphasic-FSI material.
edge contact gap, the contact gap of an edge-to-surface contact interface.
